text	label
Vi trur i alle fall at lågare skattesatsar og eit enklare skattesystem vil leggje grunnlaget for økt økonomisk vekst.	F
Regjeringen har fulgt handlingsregelen, og det har gitt som resultat at den økonomisk veksten i Norge er meget god, at antall jobber øker, at ledigheten går ned, og at vi har klart en overgang fra nedgangskonjunktur til oppgangskonjunktur på en bedre måte enn de fleste andre land i Europa.	F
For Kristelig Folkeparti er det viktig at olje- og gassvirksomheten skal flyttes nordover, og at vi skal få ringvirkningene nordover.	F
Vi mener at i den situasjonen vi er i nå, har vi behov for mer arbeidskraft. Vi vet at det er en del 62- og 63-åringer som blir skviset ut av arbeidsmarkedet på grunn av AFP-ordningen.	A
Så har da Arbeiderpartiet og Fremskrittspartiet fremmet et forslag der vi ber Regjeringen innstendig om å avstå fra å opprette shariaråd e.l.	A
Jeg vil bare understreke fra Kristelig Folkepartis side det som var Kristelig Folkepartis klare budskap den dagen regjeringen la fram forvaltningsplanen, at torsken, sjøfuglene og det sårbare naturområdet i Lofoten, Vesterålen og Senja er trygge	F
Fremskrittspartiets budsjettforslag står i en tradisjon i forhold til de ikke-sosialistiske partiene når det gjelder å satse på høyere utdanning og forskning. Vi syns det er bra at Fremskrittspartiet har kommet med i den borgerlige tradisjonen det er å satse på dette.	F
Jeg mener dette er et godt budsjett for kollektivtrafikk	F
Det er riktig at Arbeiderpartiet har hatt og har som utgangspunkt at det er ønskelig med størst mulig grad av likebehandling av arbeidstakere innenfor hele EØS-området.	A
Vi har satset på rassikring.	F
Derfor ville de også vært glad for at Høyres budsjett hadde blitt vedtatt i dag, slik at de hadde fått mer penger til å bygge ut flere sykehjemsplasser og flere omsorgsplasser.	F
Men når det er et generasjonsskifte, kan arveavgiften være en veldig stor belastning. Det høres ikke ut på representanten som dette er noe problem, men ute i det virkelige liv er dette et stort problem for mange, særlig ved generasjonsskifte.	A
Ser sosialministeren at den utviklingen som nå har vært, med en stadig økning av egenandeler – med 30 pst. økning gjennom de siste tre årene – også er med på å utvikle forskjeller, fordi det for enkelte rett og slett blir for dyrt å bruke en del helsetjenester?	A
ser ikke Kristelig Folkeparti i dag at den svært liberale flyktning- og asylpolitikken som de fra første stund i 1997 la opp til, har vært uheldig, og at de følgelig har et behov for å revurdere sin liberale flyktning- og asylpolitikk?	A
