text	label
Saken gjelder omgjøring av flytende naturgass til diesel. Naturgass er ikke noe biologisk produkt, det er fossil gass. Produktet GTL avgiftsbelegges på linje med ordinær diesel i Norge – som i våre naboland Sverige og Danmark. Som flere har vært inne på: Det som er det sentrale her, er kilden for karbonet eller kilden for energien. Er kilden fornybar, eller er kilden ikke-fornybar? Kilden for denne dieselen er ikke-fornybar. Dersom vi skulle gi fritak fra veibruksavgift for denne ikke-fornybare energikilden, ville det klart svekke den ønskede stimulansen av fornybar energi. Det er en uheldig utglidning, i strid med den stimuleringa som Stortinget er enig om når det gjelder miljødrivstoff, i betydningen fornybart karbon, fornybart drivstoff. Det som er interessant i denne saken, er at Venstre og Kristelig Folkeparti er med på denne utglidinga, og ikke klarer å skille tydelig mellom fornybar energi og ikke-fornybar energi. Som regjeringspartiene skriver, er det viktig at vi ikke glir ut på dette punktet, men holder fast ved det klare skillet mellom fornybart karbon og ikke-fornybart karbon. Det er der hovedskillet går når det gjelder den type drivstoff.	Dersom vi skulle gi fritak fra veibruksavgift for denne ikke-fornybare energikilden, ville det klart svekke den ønskede stimulansen av fornybar energi. Det er en uheldig utglidning
Jeg registrerte at finansministeren viste til alle de andre tiltakene man kunne gjennomføre for å redusere utslipp. Men er det ikke sånn at det viktigste handler om å redusere lokale utslipp for folk som har astma- og allergiproblemer? Eller er det sånn at det er inntektene som er det eneste viktige for finansministeren? Ved å si ja til å ta bort – det handler bare om å ta bort – mineraloljeavgiften kunne man i løpet av én uke sørget for å få i gang dette og få redusert utslipp og lokal forurensning betraktelig i de store byene. Det er et skrikende behov for det. Men det er altså slik at staten vil tape noen penger. Er det pengene finansministeren nå – tydeligvis – er redd for, mens miljøet kanskje ikke er så viktig?	Ved å si ja til å ta bort – det handler bare om å ta bort – mineraloljeavgiften kunne man i løpet av én uke sørget for å få i gang dette og få redusert utslipp og lokal forurensning betraktelig i de store byene. Det er et skrikende behov for det.
Jeg vil bare følge opp det sporet når det gjelder miljøutslipp, for det er helt åpenbart at både Oslo og Bergen skriker etter tiltak for å begrense NOx-utslippene. Samferdselsministeren har også varslet en gjennomgang, og her har vi altså et drivstoff der miljøvernorganisasjonen ZERO sier at en vil få en utslippsreduksjon på opptil 45 pst. på NOx, opptil 40 pst. reduksjon på partikkelforurensning, 40–60 pst. reduksjon på hydrokarboner og 80 pst. reduksjon på karbonmonoksid. Det er ganske heftige tall, og denne drivstofftypen betaler man i tillegg CO2 -avgift på. Så det er jo ikke sånn at man har drivstoff som man ønsker å unnta for de avgiftene som er, men vanlig naturgass slipper veibruksavgiften. Dette er egentlig kanskje vel så greit som vanlig naturgass, som finansministeren og jeg er enige om skal slippe veibruksavgift, i hvert fall foreløpig.	Dette er egentlig kanskje vel så greit som vanlig naturgass, som finansministeren og jeg er enige om skal slippe veibruksavgift, i hvert fall foreløpig.
Som eg sa i innleiingsforedraget mitt, var det nettopp store spørsmålsteikn ved Arbeidarpartiet sin miljøpolitikk, og eg gjorde det heilt klart at eg ikkje nødvendigvis hadde tillit til at den kunne bli betre. Men det betyr ikkje at eg i neste omgang skal måtta forsvara ein politikk frå sentrumsregjeringa i samarbeid med Høgre og Framstegspartiet. Tvert imot, då står eg opp og seier at SV er det einaste partiet som forsvarar miljøsaka skikkeleg her på Stortinget. Hadde Venstre og sentrumsregjeringa følgt opp Voksenåserklæringa, skulle eg stått her og tatt bølgja for dei, men eg kan ikkje det med det utgangspunktet dei har i dag. Og grøne skattar – det var eit forslag frå SV i si tid, som representanten Eilef Meland tok opp, og som er følgt opp. Men resultata – kva er det me klarar å få gjennomført? Regjeringa prøvde seg i forhold til elavgifta osv., men den må altså søka samarbeid med folk som ikkje kan gje den fleirtal. Hadde det vore ein god dag for miljø og miljøpolitikken og klimautfordringane, skulle eg gjerne ha skrytt av sentrumsregjeringa. Men dagen er dessverre ikkje god nok.	Tvert imot, då står eg opp og seier at SV er det einaste partiet som forsvarar miljøsaka skikkeleg her på Stortinget.
La meg først si at jeg er glad for det spørsmålet. Jeg må også si at den innsatsen som Høyre ved representanten Børge Brende gjorde i sin tid som miljøvernminister, står det respekt av. Dette er et område med sterk grad av konflikt, hvor det er nødvendig at vi også gjør en innsats her i Norge og ikke bare etterlyser engasjement og innsats fra andre land. Så vil jeg bestride den påstanden som kom om at det blir mindre penger til vern neste år. Det som ser ut som en nedgang i bevilgningene på årets budsjett, skyldes at bevilgningene til gammelt skogvern blir avslutta. Men det er like mye penger til nytt skogvern neste år, så det er ikke tilfellet at det ikke er penger til dette. Og når det gjelder en løsning knyttet til Trillemarka-spørsmålet, vil det også bli bevilga mer penger til skogvern.	Så vil jeg bestride den påstanden som kom om at det blir mindre penger til vern neste år.
Det er ikke noe mål for Arbeiderpartiet å redusere oljeprisen produsentene mottar. Hovedpoenget når det gjelder Kyoto-avtalen, er at vi ikke kan si at av hensyn til de norske oljeinntektene kan vi ikke ta klimaproblemene på alvor. Vi er nødt til å gå løs på utslippene av CO2 for å gjøre noe med miljøproblemene. Nå er det slik at hvis man har en fornuftig tilnærming til klimaproblemene, vil Norge også på mange måter være en vinner rent økonomisk sett, i tillegg til miljøgevinstene. Det skyldes at f.eks. CO2 –avgiftene i dag– skatt på fossile brensler – er veldig tunge og veldig høye på olje, mens det er nær null eller ingen skatt på f.eks. kull. Det betyr at hvis man bare fikk en mer rasjonell skattlegging av fossile brensler gjennom at man fikk mer skatt på kull, ville det i hvert fall kunne bidra til at gass styrket sin konkurranseposisjon, og faktisk har også en del analyser vist at olje ville kunne styrke sin konkurranseposisjon. Så det er fullt mulig å forene Norges økonomiske interesser med en fornuftig klimapolitikk.	Så det er fullt mulig å forene Norges økonomiske interesser med en fornuftig klimapolitikk.
Svaret på representanten Nybakks spørsmål er nei. Som jeg har sagt, er min erfaring at det ikke er skyldfølelse eller skamfølelse som er problemet for kvinnene. Nei, de har faktisk en reell følelse av sorg og tap, og dette vil vi ta hensyn til. Det er ikke snakk om at de skal spørres før 12. uke, det synes jeg at jeg understreket ganske klart. De skal få en nøytral informasjon om de mulighetene de har, og så vil de ut fra den situasjonen de selv er i, foreta det valget som føles riktig for dem. Det er helt utenkelig for meg og mitt parti at vi skulle gå inn og bestemme hva kvinnen skulle velge.	De skal få en nøytral informasjon om de mulighetene de har, og så vil de ut fra den situasjonen de selv er i, foreta det valget som føles riktig for dem. Det er helt utenkelig for meg og mitt parti at vi skulle gå inn og bestemme hva kvinnen skulle velge.
Jeg registrerer at representanten Høegh ikke er fornøyd. Men jeg må igjen minne om at 1999-budsjettet var Høyre sterkt ansvarlig for. De underskudd som nå kommer fram, har altså sin bakgrunn i dette budsjettet. Jeg synes at Høyre burde ta dette ansvaret og gå litt stillere i dørene. I budsjettinnstillingen har regjeringspartiene, Arbeiderpartiet og Sosialistisk Venstreparti i en merknad uttalt seg klart positivt til en økning av tallet på medisinstudenter ved NTNU og ved Universitetet i Tromsø. Behovet for leger og annet helsepersonell er meget stort, som vi vet, spesielt i distriktene. Den såkalte lakseeffekten har vist seg å fungere bra når det gjelder helsesektoren. Det betyr at når f.eks. leger utdannes i Tromsø, blir de oftest i den nordlige landsdelen etter endt utdanning. Vi tror derfor at det er svært viktig å øke utdanningen av leger også utenfor det sentrale Østlandet. Hvorfor støtter ikke Høyre en økt legeutdanning ved NTNU og ved Universitetet i Tromsø? Så sier Høyre og Fremskrittspartiet i en merknad: «Disse medlemmer vil understreke betydningen av at det settes inn stimuleringstiltak ved de andre fakultetene for å hindre «flukt» av nøkkelpersonell.» Hva ligger det i dette? Og hva går slike stimuleringstiltak egentlig ut på?	I budsjettinnstillingen har regjeringspartiene, Arbeiderpartiet og Sosialistisk Venstreparti i en merknad uttalt seg klart positivt til en økning av tallet på medisinstudenter ved NTNU og ved Universitetet i Tromsø.
La meg først få si at det er avklart. Venstre har ingen programformulering om å fjerne arveavgift, men vi er veldig for en mer rettferdig arveavgift, særlig i de tilfellene hvor man ikke selger slik at det blir noen kontantstrøm å betale avgift av, men man tar vare på det som er - etter Venstres syn iallfall - en langsiktig verdi, nemlig at familier skal kunne sitte i generasjoner på familieeiendommer. Jeg forstår at det kan settes spørsmålstegn ved hva Lundteigen og Senterpartiet mener om det etter dagens debatt. Det vil høsten kunne avklare. Så vil jeg også gjøre det veldig klart at Venstre er for å beholde rentefradraget for lån bl.a. til hus og hytte. Jeg forstår at Lundteigen også i denne debatten har klart å skape usikkerhet om hva som vil skje med det framover.	Så vil jeg også gjøre det veldig klart at Venstre er for å beholde rentefradraget for lån bl.a. til hus og hytte.
Det var en relativt lang innledning til et for så vidt greit og kort spørsmål, men jeg kan jo bare i forbindelse med den innledningen si at jeg stiller meg bak den oppfordringen som representanten Ballo her kommer med til dem som har denne merknaden det ble referert til, om at vi hadde liten kunnskap og stor skepsis når det gjaldt bioteknologi. Jeg synes i hvert fall det er veldig greit at vi har en god skepsis i Norge, så får de andre underbygge denne påstanden om lav kunnskap. Så til genmat og regelverk. Representanten Ballo spør om Senterpartiet kan tenke seg et moratorium når det gjelder dette forholdet. Jeg skal ikke si at jeg vil gå for, eller ikke gå for, et moratorium i dag – det blir så veldig absolutt. Det jeg i hvert fall har sagt også gjennom fellesmerknaden, er at vi bør bruke føre var-strategien her, være skeptisk og få gjort skikkelige undersøkelser. Når det gjelder genteknologi og mat, synes jeg at det er en lite farbar vei å gå i de fleste sammenhenger. Nå er jo moratorium et midlertidig forbud, og det har vi i praksis nesten i EU i dag. Jeg synes i hvert fall at Norge skal følge den linjen, og da må vel svaret mitt bli et betinget ja – midlertidig forbud har vi for så vidt i dag, og jeg synes at vi skal fortsette med det til vi bl.a. har større viten, ikke bare her i Norge, men generelt, om området genmat.	Jeg synes i hvert fall at Norge skal følge den linjen, og da må vel svaret mitt bli et betinget ja – midlertidig forbud har vi for så vidt i dag, og jeg synes at vi skal fortsette med det til vi bl.a. har større viten, ikke bare her i Norge, men generelt, om området genmat.
